unit,tech,ave_marg_damages_isrm_LePeule,longitude,latitude,fuel,status,node,zone,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
Existing NG-CT 138,NG-CT,84.45006042,-74.097155,40.73799,Gas,Existing,5,PJM_EMAC,241.72696797328987,51971.298114257304,1736868.1321407768,SO X5
Existing NG-CT 139,NG-CT,84.30951116,-74.097155,40.73799,Gas,Existing,5,PJM_EMAC,281.4000000000001,60501.00000000007,2018563.6202983866,SO X5
Existing NG-CT 140,NG-CT,84.41651762,-74.097155,40.73799,Gas,Existing,5,PJM_EMAC,234.49999999999977,50417.49999999996,1684271.3342332656,SO X5
Existing NG-CT 141,NG-CT,84.76556683,-74.097155,40.73799,Gas,Existing,5,PJM_EMAC,281.4,60500.99999999999,2029482.6420270882,SO X5
Existing NG-CT 157,NG-CT,6.21194926,-75.035192,39.489029,Gas,Existing,5,PJM_EMAC,330.00000000000034,70950.00000000007,174414.91359962613,SO X5
Existing NG-CT 2,NG-CT,67.14580827,-84.1025,37.8824,Gas,Existing,9,PJM_West,104.0,22360.0,1235189.2661326916,SO X5
Existing NG-CT 202,NG-CT,72.60844078,-82.2645,41.42935,Gas,Existing,2,PJM_ATSI,84.9999999999909,18274.999999998043,1091659.755146761,SO X5
Existing NG-CT 205,NG-CT,66.09203167,-82.26598,41.42928,Gas,Existing,2,PJM_ATSI,85.0,18275.0,993686.2757959901,SO X5
Existing NG-CT 217,NG-CT,27.32625653,-84.33889,41.30416,Gas,Existing,2,PJM_ATSI,100.21382982295738,21545.97341193584,484383.19148348103,SO X5
Existing NG-CT 218,NG-CT,28.7333041,-84.33889,41.30416,Gas,Existing,2,PJM_ATSI,100.21382982295738,21545.97341193584,509324.4120922183,SO X5
Existing NG-CT 219,NG-CT,28.43144798,-84.33889,41.30416,Gas,Existing,2,PJM_ATSI,100.21382982295738,21545.97341193584,503973.732952765,SO X5
Existing NG-CT 3,NG-CT,84.01822041,-84.1025,37.8824,Gas,Existing,9,PJM_West,104.0,22360.0,1545567.8721253795,SO X5
Existing NG-CT 4,NG-CT,15.36017259,-84.1025,37.8824,Gas,Existing,9,PJM_West,7.333333199999998,1576.6666379999997,19924.10296251051,SO X5
Existing NG-CT 407,NG-CT,9.075311829,-74.96519,39.375774,Gas,Existing,5,PJM_EMAC,89.4999996,19242.499913999996,88200.86872622327,SO X5
Existing NG-CT 476,NG-CT,32.72099857,-85.739139,40.052939,Gas,Existing,9,PJM_West,72.0,15480.0,416716.1278385857,SO X5
Existing NG-CT 5,NG-CT,12.96915216,-84.1025,37.8824,Gas,Existing,9,PJM_West,7.333333199999998,1576.6666379999997,16822.644502089257,SO X5
Existing NG-CT 533,NG-CT,67.57087617,-83.6401,41.3883,Gas,Existing,2,PJM_ATSI,29.00000000000003,6235.000000000001,346608.1831499839,SO X5
Existing NG-CT 554,NG-CT,12.05382666,-77.7686,38.5292,Gas,Existing,4,PJM_Dom,318.6,68499.0,605761.219490408,SO X5
Existing NG-CT 560,NG-CT,10.21531045,-78.2144,38.1169,Gas,Existing,4,PJM_Dom,158.0,33970.0,285489.3555557612,SO X5
Existing NG-CT 563,NG-CT,8.187206639,-77.77069,38.54573,Gas,Existing,4,PJM_Dom,152.0,32680.0,220120.55714441612,SO X5
Existing NG-CT 564,NG-CT,7.659567836,-77.77069,38.54573,Gas,Existing,4,PJM_Dom,152.0,32680.0,205934.50414630113,SO X5
Existing NG-CT 567,NG-CT,5.234635107,-77.51309,38.07194,Gas,Existing,4,PJM_Dom,282.9999996,60844.999914,160864.83630314167,SO X5
Existing NG-CT 568,NG-CT,5.437898621,-77.51309,38.07194,Gas,Existing,4,PJM_Dom,279.9999996,60199.999914,165339.8009351588,SO X5
Existing NG-CT 569,NG-CT,5.057132318,-77.51309,38.07194,Gas,Existing,4,PJM_Dom,279.9999996,60199.999914,153762.56694669963,SO X5
Existing NG-CT 572,NG-CT,38.44904598,-84.73972,40.93,Gas,Existing,9,PJM_West,145.0,31175.0,772659.8382473433,SO X5
Existing NG-CT 573,NG-CT,32.0176362,-84.73917,40.93,Gas,Existing,9,PJM_West,145.0,31175.0,643416.266302748,SO X5
Existing NG-CT 574,NG-CT,32.47767447,-84.73917,40.93,Gas,Existing,9,PJM_West,145.0,31175.0,652661.0495275563,SO X5
Existing NG-CT 6,NG-CT,12.19275549,-84.1025,37.8824,Gas,Existing,9,PJM_West,7.333333199999998,1576.6666379999997,15815.558995582569,SO X5
Existing NG-CT 637,NG-CT,36.42868488,-76.0416,40.9282,Gas,Existing,8,PJM_WMAC,1.7763568394002505e-13,5.021760784984508e-11,1.5338313991605423e-09,SO X5
Existing NG-CT 638,NG-CT,97.66540458,-76.0416,40.9282,Gas,Existing,8,PJM_WMAC,1.6697754290362354e-13,4.7393200475198676e-11,3.8080232814527496e-09,SO X5
Existing NG-CT 639,NG-CT,75.60402009,-76.0416,40.9282,Gas,Existing,8,PJM_WMAC,1.9184653865522708e-13,4.32898161761841e-11,2.7225072684081467e-09,SO X5
