Scenario,Zone Number,Zone,Technology,Epoch,Capacity (MW)
MO EM190,6,CT,Battery,3,0.0
MO EM190,6,CT,Battery,4,0.0
MO EM190,6,CT,NG-CC-CCS,1,0.0
MO EM190,6,CT,NG-CC-CCS,2,0.0
MO EM190,6,CT,NG-CC-CCS,3,0.0
MO EM190,6,CT,NG-CC-CCS,4,0.0
MO EM190,6,CT,NG-CT,1,0.0
MO EM190,6,CT,NG-CT,2,0.0
MO EM190,6,CT,NG-CT,3,0.0
MO EM190,6,CT,NG-CT,4,0.0
MO EM190,6,CT,Solar PV,1,0.0
MO EM190,6,CT,Solar PV,2,0.0
MO EM190,6,CT,Solar PV,3,0.0
MO EM190,6,CT,Solar PV,4,0.0
MO EM190,6,CT,Wind,1,10794.764520721044
MO EM190,6,CT,Wind,2,0.0
MO EM190,6,CT,Wind,3,3454.3549954716373
MO EM190,6,CT,Wind,4,0.0
MO EM190,7,RI,Battery,1,345.27385069694503
MO EM190,7,RI,Battery,2,0.0
MO EM190,7,RI,Battery,3,0.0
MO EM190,7,RI,Battery,4,0.0
MO EM190,7,RI,NG-CC-CCS,1,0.0
MO EM190,7,RI,NG-CC-CCS,2,0.0
MO EM190,7,RI,NG-CC-CCS,3,0.0
MO EM190,7,RI,NG-CC-CCS,4,0.0
MO EM190,7,RI,NG-CT,1,0.0
MO EM190,7,RI,NG-CT,2,0.0
MO EM190,7,RI,NG-CT,3,0.0
MO EM190,7,RI,NG-CT,4,0.0
MO EM190,7,RI,Solar PV,1,0.0
MO EM190,7,RI,Solar PV,2,0.0
MO EM190,7,RI,Solar PV,3,0.0
MO EM190,7,RI,Solar PV,4,0.0
MO EM190,7,RI,Wind,1,0.0
MO EM190,7,RI,Wind,2,3485.7834105791976
MO EM190,7,RI,Wind,3,0.0
MO EM190,7,RI,Wind,4,0.0
MO EM190,8,SEMA,Battery,1,34.39792351393694
MO EM190,8,SEMA,Battery,2,267.1597225730529
MO EM190,8,SEMA,Battery,3,0.0
MO EM190,8,SEMA,Battery,4,0.0
MO EM190,8,SEMA,NG-CC-CCS,1,0.0
MO EM190,8,SEMA,NG-CC-CCS,2,0.0
MO EM190,8,SEMA,NG-CC-CCS,3,0.0
MO EM190,8,SEMA,NG-CC-CCS,4,0.0
MO EM190,8,SEMA,NG-CT,1,0.0
MO EM190,8,SEMA,NG-CT,2,0.0
MO EM190,8,SEMA,NG-CT,3,0.0
MO EM190,8,SEMA,NG-CT,4,0.0
MO EM190,8,SEMA,Solar PV,1,0.0
MO EM190,8,SEMA,Solar PV,2,0.0
MO EM190,8,SEMA,Solar PV,3,0.0
MO EM190,8,SEMA,Solar PV,4,0.0
MO EM190,8,SEMA,Wind,1,2582.2193366591696
MO EM190,8,SEMA,Wind,2,0.0
MO EM190,8,SEMA,Wind,3,0.0
MO EM190,8,SEMA,Wind,4,0.0
MO EM190,9,VINE,Offshore Storage,1,0.0
MO EM190,9,VINE,Offshore Storage,2,0.0
MO EM190,9,VINE,Offshore Storage,3,0.0
MO EM190,9,VINE,Offshore Storage,4,0.0
MO EM190,9,VINE,NG-CC-CCS,1,0.0
MO EM190,9,VINE,NG-CC-CCS,2,0.0
MO EM190,9,VINE,NG-CC-CCS,3,0.0
MO EM190,9,VINE,NG-CC-CCS,4,0.0
MO EM190,9,VINE,NG-CT,1,0.0
MO EM190,9,VINE,NG-CT,2,0.0
MO EM190,9,VINE,NG-CT,3,0.0
MO EM190,9,VINE,NG-CT,4,0.0
MO EM190,9,VINE,Solar PV,1,0.0
MO EM190,9,VINE,Solar PV,2,0.0
MO EM190,9,VINE,Solar PV,3,0.0
MO EM190,9,VINE,Solar PV,4,0.0
MO EM190,9,VINE,Wind,1,0.0
MO EM190,9,VINE,Wind,2,0.0
MO EM190,9,VINE,Wind,3,0.0
MO EM190,9,VINE,Wind,4,0.0
MO EM190,10,MFLR1,Offshore Storage,1,0.0
MO EM190,10,MFLR1,Offshore Storage,2,0.0
MO EM190,10,MFLR1,Offshore Storage,3,0.0
MO EM190,10,MFLR1,Offshore Storage,4,0.0
MO EM190,10,MFLR1,NG-CC-CCS,1,0.0
MO EM190,10,MFLR1,NG-CC-CCS,2,0.0
