latitude,zone,longitude,fuel,node,ave_marg_damages_isrm_LePeule,unit,tech,status,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
40.062369,PJM_EMAC,-74.168576,Gas,5,39.31088066,Existing NG-CC 722,NG-CC,Existing,9245.2,1544984.4999681201,49966589.06508835,SO X5
40.071433,PJM_EMAC,-74.875878,Gas,5,46.98498697,Existing NG-CT 131,NG-CT,Existing,84.00000000000021,10500.000048300028,405873.9849789963,SO X5
40.071433,PJM_EMAC,-74.875878,Gas,5,47.41675781,Existing NG-CT 129,NG-CT,Existing,84.00000000000036,10500.000048300066,409603.78385157004,SO X5
40.071433,PJM_EMAC,-74.875878,Gas,5,50.56726238,Existing NG-CT 130,NG-CT,Existing,84.00000000000017,10500.000048300031,436819.0269958714,SO X5
40.071433,PJM_EMAC,-74.875878,Gas,5,51.25459134,Existing NG-CT 128,NG-CT,Existing,84.00000000000004,10500.000048300004,442756.43300525757,SO X5
40.074305,PJM_West,-84.61514,Gas,9,22.76345991,Existing NG-CT 839,NG-CT,Existing,4.263256414560601e-14,1.513456027595339e-11,2.834333069839365e-10,SO X5
40.074305,PJM_West,-84.615,Gas,9,23.06681587,Existing NG-CT 841,NG-CT,Existing,7.815970093361103e-14,6.5014659801576624e-12,1.233791423527159e-10,SO X5
40.07458,PJM_West,-84.615,Gas,9,22.61602139,Existing NG-CT 842,NG-CT,Existing,2.8421709430404014e-14,4.2632564237976575e-12,7.932324368686933e-11,SO X5
40.07472,PJM_West,-84.615,Gas,9,22.13714336,Existing NG-CT 840,NG-CT,Existing,1.0658141036401503e-13,1.5987211589241215e-11,2.911636158824244e-10,SO X5
40.09285,PJM_West,-82.02727,Gas,9,8.825121559,Existing NG-CC 947,NG-CC,Existing,53373.696248114844,9168061.062963402,52245064.49758116,SO X5
40.09285,PJM_West,-82.02727,Gas,9,8.856849885,Existing NG-CC 949,NG-CC,Existing,85434.03445273887,15142857.945963664,81513135.99074633,SO X5
40.09285,PJM_West,-82.02727,Gas,9,8.88857821,Existing NG-CC 948,NG-CC,Existing,53373.696248114844,9168061.062963402,52620730.351261616,SO X5
40.14695,PJM_EMAC,-74.74249,Gas,5,6.3125208,Existing NG-CC 928,NG-CC,Existing,23036.89874066898,3893572.4046875997,20220592.687940918,SO X5
40.14695,PJM_EMAC,-74.74249,Gas,5,6.360245321,Existing NG-CC 930,NG-CC,Existing,23891.3333332,3896056.6660765503,20386465.45895114,SO X5
40.14695,PJM_EMAC,-74.74249,Gas,5,6.366125242,Existing NG-CC 932,NG-CC,Existing,98185.40893756744,16802830.307941645,69026189.4124376,SO X5
40.14695,PJM_EMAC,-74.74249,Gas,5,6.419729684,Existing NG-CC 929,NG-CC,Existing,23044.3333332,3874958.3331205747,20465698.99200215,SO X5
40.14695,PJM_EMAC,-74.74249,Gas,5,6.434402293,Existing NG-CC 933,NG-CC,Existing,98185.40893756744,16802830.307941645,69766499.17319375,SO X5
40.14695,PJM_EMAC,-74.74249,Gas,5,6.508559264,Existing NG-CC 931,NG-CC,Existing,23891.3333332,3896056.6660765503,20861855.467268456,SO X5
40.2522,PJM_West,-80.6486,Coal,9,139.8577554,Existing Coal 165,Coal,Existing,89239.99999995682,16977799.998106185,1953488103.7141972,SO X5
40.3509,PJM_WMAC,-76.3658,Gas,8,14.81925424,Existing NG-CC 936,NG-CC,Existing,57208.3666664,9711581.497460928,104962117.03926608,SO X5
40.42083,PJM_WMAC,-75.9375,Gas,8,11.75631665,Existing NG-CC 808,NG-CC,Existing,22944.116242313892,3903022.724650338,37749843.77343607,SO X5
40.42083,PJM_WMAC,-75.9375,Gas,8,11.76790149,Existing NG-CC 810,NG-CC,Existing,48179.89240642114,8249550.762173963,71013806.90039033,SO X5
40.42083,PJM_WMAC,-75.9375,Gas,8,11.77948633,Existing NG-CC 809,NG-CC,Existing,22944.116242313892,3903022.724650338,37824242.228863895,SO X5
40.54409,PJM_AP,-79.76719,Gas,1,13.17971833,Existing NG-CT 812,NG-CT,Existing,2.8421709430404014e-14,3.552713695142985e-12,3.852202801023691e-11,SO X5
40.54409,PJM_AP,-79.76719,Gas,1,14.05035147,Existing NG-CT 811,NG-CT,Existing,1.2079226507921703e-13,1.5774048666905572e-11,1.8233631285310813e-10,SO X5
40.545,PJM_AP,-79.76917,Gas,1,9.758405555,Existing NG-CC 1027,NG-CC,Existing,16533.0,2568460.0011356,20620275.990252573,SO X5
40.545,PJM_AP,-79.76917,Gas,1,10.58381714,Existing NG-CC 1028,NG-CC,Existing,53871.364013855695,8643705.575788198,59433244.47576373,SO X5
40.545,PJM_AP,-79.76917,Gas,1,11.40922873,Existing NG-CC 1026,NG-CC,Existing,16533.0,2568460.0011356,24108594.78247201,SO X5
40.61842,PJM_WMAC,-75.313775,Gas,8,9.493148215,Existing NG-CC 1020,NG-CC,Existing,15981.559478577954,2733009.869394761,21344906.916951068,SO X5
40.61842,PJM_WMAC,-75.313775,Gas,8,9.493148215,Existing NG-CC 1022,NG-CC,Existing,76219.98101425318,13069857.380808502,81352613.29198234,SO X5
40.624411,PJM_EMAC,-74.211871,Gas,5,19.3843234,Existing NG-CC 150,NG-CC,Existing,25303.014863302767,4379682.51800779,69845121.9961965,SO X5
40.624411,PJM_EMAC,-74.211871,Gas,5,19.43511979,Existing NG-CC 149,NG-CC,Existing,89980.90875001212,15654843.829961916,197470056.63452804,SO X5
40.624411,PJM_EMAC,-74.211871,Gas,5,19.48591618,Existing NG-CC 151,NG-CC,Existing,25303.014863302767,4379682.51800779,70211178.6269393,SO X5
40.624411,PJM_EMAC,-74.211871,Gas,5,19.85026591,Existing NG-CC 147,NG-CC,Existing,25303.014863302767,4379682.51800779,71523994.70083596,SO X5
40.624411,PJM_EMAC,-74.211871,Gas,5,19.86409061,Existing NG-CC 146,NG-CC,Existing,89980.90875001204,15654843.829961902,201828604.10093173,SO X5
40.624411,PJM_EMAC,-74.211871,Gas,5,19.8779153,Existing NG-CC 148,NG-CC,Existing,25303.014863302767,4379682.51800779,71623620.30952089,SO X5
40.624411,PJM_EMAC,-74.211871,Gas,5,52.58585422,Existing NG-CT 144,NG-CT,Existing,86.0,10750.00004945,465072.01050210185,SO X5
40.624411,PJM_EMAC,-74.211871,Gas,5,59.72703999,Existing NG-CT 145,NG-CT,Existing,86.0,10750.00004945,528229.0262563456,SO X5
40.71028,PJM_ATSI,-82.79916,Gas,2,64.55235528,Existing NG-CT 887,NG-CT,Existing,7.105427357601002e-15,8.704148490856766e-13,4.6225454274024656e-11,SO X5
40.73799,PJM_EMAC,-74.097155,Gas,5,84.30951116,Existing NG-CT 139,NG-CT,Existing,375.2000000000003,46900.00021574006,2109858.8392354166,SO X5
40.73799,PJM_EMAC,-74.097155,Gas,5,84.41651762,Existing NG-CT 140,NG-CT,Existing,375.20000000000016,46900.00021574005,2112536.692805908,SO X5
40.73799,PJM_EMAC,-74.097155,Gas,5,84.45006042,Existing NG-CT 138,NG-CT,Existing,422.1000000000005,52762.50024270758,2363429.4325739318,SO X5
40.73799,PJM_EMAC,-74.097155,Gas,5,84.76556683,Existing NG-CT 141,NG-CT,Existing,375.2000000000003,46900.00021574004,2121271.7044423646,SO X5
40.73799,PJM_EMAC,-74.097155,Gas,5,85.9958989,Existing NG-CT 137,NG-CT,Existing,375.20000000000033,46900.00021574004,2152060.958909254,SO X5
40.73799,PJM_EMAC,-74.097155,Gas,5,87.1882248,Existing NG-CT 136,NG-CT,Existing,375.20000000000016,46900.00021574002,2181899.1029662183,SO X5
40.73799,PJM_EMAC,-74.097155,Gas,5,149.2180591,Existing NG-CT 133,NG-CT,Existing,89.00000000000011,11125.000051175033,1365727.9961528282,SO X5
40.73799,PJM_EMAC,-74.097155,Gas,5,155.5982319,Existing NG-CT 132,NG-CT,Existing,89.0000000000002,11125.000051175031,1424122.9428892233,SO X5
40.73799,PJM_EMAC,-74.097155,Gas,5,160.4799427,Existing NG-CT 135,NG-CT,Existing,89.00000000000007,11125.000051175015,1468803.1186594581,SO X5
40.73799,PJM_EMAC,-74.097155,Gas,5,166.6080493,Existing NG-CT 134,NG-CT,Existing,89.00000000000026,11125.000051175066,1524891.013097364,SO X5
40.8022,PJM_WMAC,-75.1072,Gas,8,9.956977323,Existing NG-CC 1012,NG-CC,Existing,22909.217213732925,3784963.1512017706,31005017.263306253,SO X5
40.8022,PJM_WMAC,-75.1072,Gas,8,9.985430136,Existing NG-CC 1014,NG-CC,Existing,85047.31319447496,14597877.938948149,94920093.67891952,SO X5
