,ME,NH,VT,WCMA,NEMA,CT,RI,SEMA,VINE,MFLR1,MFLR2,COMW,PKCTY,CTREV,RIREV
14,1693.97,1927.49,430.01,2523.11,4028.74,4935.47,1557.46,2681.88,0,0,0,0,0,0,0
15,1714.41,1978.67,448.94,2623.79,4097.48,5123.55,1598.95,2790.19,0,0,0,0,0,0,0
16,1736.98,2024.45,483.7,2728.02,4164.5,5332.09,1619.62,2881.05,0,0,0,0,0,0,0
17,1770.98,2068.06,563.35,2837.27,4229.74,5543.24,1634.11,2973.83,0,0,0,0,0,0,0
18,1804.28,2098.55,674.92,2917.2,4229.68,5672.44,1622.76,3035.84,0,0,0,0,0,0,0
19,1801.35,2071.05,759.85,2936.76,4104.91,5630.88,1580.31,3013.78,0,0,0,0,0,0,0
20,1736.48,1974.6,785.3,2849.34,3942.26,5387.21,1514.38,2888.62,0,0,0,0,0,0,0
21,1677.56,1894.65,778.2,2737.26,3824.31,5133.17,1451.47,2757.17,0,0,0,0,0,0,0
22,1579.25,1775.01,761.3,2581.62,3664.29,4815.61,1372.36,2574.38,0,0,0,0,0,0,0
23,1435.74,1607.89,706.84,2364.34,3465.18,4354.91,1261.06,2329.23,0,0,0,0,0,0,0
24,1324.33,1458.04,649.23,2172.59,3211.58,3921.38,1138.01,2099.98,0,0,0,0,0,0,0
1,1092.04,1011.76,484.62,1476.54,2237.39,2551.15,775.33,1373.51,0,0,0,0,0,0,0
2,1054.64,969.93,467.88,1412.51,2144.04,2404.71,734.15,1291.96,0,0,0,0,0,0,0
3,1029,938.9,454.13,1373.68,2070.79,2306.33,703.29,1237.04,0,0,0,0,0,0,0
4,1014.05,920.85,446.22,1334.99,2024.32,2240.51,682.7,1208.23,0,0,0,0,0,0,0
5,1008.4,918.26,445.81,1327.26,2005.32,2204.04,673.32,1199.72,0,0,0,0,0,0,0
6,1022.09,931.45,453.53,1333.56,2009.88,2207.81,671.5,1206.84,0,0,0,0,0,0,0
7,1065.12,960.34,460.16,1335.72,2042.07,2227.66,683.56,1225.08,0,0,0,0,0,0,0
8,1155.47,1027.65,438.65,1380.48,2129.78,2315.71,732.21,1273.11,0,0,0,0,0,0,0
9,1247.68,1113.79,375.02,1413.18,2247.58,2448.59,784.29,1338.38,0,0,0,0,0,0,0
10,1301.81,1172.33,305.63,1431.3,2364.58,2582.71,846.27,1393.66,0,0,0,0,0,0,0
11,1328.15,1224.06,259.6,1458.52,2453.78,2720.53,893.53,1448.67,0,0,0,0,0,0,0
12,1385.22,1277.73,248.89,1522.86,2556.78,2879.47,947.15,1530.91,0,0,0,0,0,0,0
13,1386.33,1321.56,258.24,1586.53,2672.64,3039.98,989.83,1649.95,0,0,0,0,0,0,0
14,1397.95,1353.43,274.97,1637.06,2746.97,3187.79,1035.04,1739.13,0,0,0,0,0,0,0
15,1425.3,1383.46,298.59,1688.39,2829.13,3341.32,1061.19,1816.1,0,0,0,0,0,0,0
16,1458.54,1422.42,333.13,1794.95,2904.42,3497.84,1089.88,1898.68,0,0,0,0,0,0,0
17,1508.99,1482.9,403.9,1931.26,2989.68,3684.63,1107.26,1999.4,0,0,0,0,0,0,0
18,1557.88,1541.99,513.55,2057.54,3046.62,3844.79,1109.58,2068.57,0,0,0,0,0,0,0
19,1561.38,1545.57,608.14,2112.84,3041.87,3871.23,1083.64,2061.92,0,0,0,0,0,0,0
20,1526.64,1498.26,645.29,2088.41,3030.58,3779.61,1064.97,2020.85,0,0,0,0,0,0,0
21,1499.28,1455.15,644.01,2067.08,3011.01,3702.49,1057.52,1988.91,0,0,0,0,0,0,0
22,1391.53,1352.94,616.32,1960.14,2913.52,3495.23,1008.71,1875.61,0,0,0,0,0,0,0
23,1280.97,1225.75,569.15,1813.17,2737.29,3195.55,935.89,1716.27,0,0,0,0,0,0,0
24,1197.82,1116.51,520.75,1680.72,2548.53,2900.89,856.13,1559.77,0,0,0,0,0,0,0
1,1226.84,1157.73,583.13,1708.49,2314.7,2840.04,740.72,1379.48,0,0,0,0,0,0,0
2,1211.48,1125.96,570.42,1659.55,2243.63,2744.34,714.39,1330.51,0,0,0,0,0,0,0
3,1193.54,1110.64,561.52,1640.67,2214.41,2693.53,708.99,1304.22,0,0,0,0,0,0,0
4,1197.45,1114.92,559.94,1634.83,2220.76,2692.29,710.72,1296.68,0,0,0,0,0,0,0
5,1226.17,1151.69,575.02,1678.62,2278.96,2752.91,715.76,1331.7,0,0,0,0,0,0,0
6,1318.73,1239.25,612.92,1790.79,2431.55,2962.74,759.81,1422.85,0,0,0,0,0,0,0
7,1449.74,1378.69,676.01,1984.51,2687.59,3302.83,849.43,1585.43,0,0,0,0,0,0,0
8,1554.77,1484.57,733.48,2117.83,2884.5,3548.61,915.25,1707.93,0,0,0,0,0,0,0
9,1593.86,1525.58,756.34,2159.63,2977.84,3645.14,950.87,1770.39,0,0,0,0,0,0,0
10,1614.59,1536.14,753.37,2153.94,3018.47,3665.31,974.31,1798.65,0,0,0,0,0,0,0
11,1618.72,1534.9,743.53,2127.4,3022.29,3617.81,992.31,1812.19,0,0,0,0,0,0,0
12,1607.53,1515.31,737.78,2090.52,3029.47,3567.35,1000.47,1745.84,0,0,0,0,0,0,0
13,1591.83,1502.61,720.13,2073.61,3030.54,3527.02,998.3,1795.32,0,0,0,0,0,0,0
14,1587.36,1494.78,702.38,2045.48,3026.28,3506.72,993.1,1844.42,0,0,0,0,0,0,0
15,1581.69,1481.61,705.11,2048.12,2915.59,3501.34,986.22,1831.45,0,0,0,0,0,0,0
16,1593.65,1504.36,746.15,2114.92,3023.03,3574.84,988.07,1847.12,0,0,0,0,0,0,0
17,1650.5,1574.88,795.26,2233.35,3128.38,3784.25,1019.07,1923.24,0,0,0,0,0,0,0
18,1722.12,1669.69,845.34,2368.8,3248.01,4074.67,1064.25,2006.44,0,0,0,0,0,0,0
19,1698.04,1664.01,845.11,2361.4,3205.34,4096.63,1059.24,1983.93,0,0,0,0,0,0,0
20,1654.88,1621,826.5,2325.68,3146.78,4034.67,1039.82,1937.23,0,0,0,0,0,0,0
21,1609.26,1575.57,819.41,2274.15,3091.36,3971.14,1012.64,1879.58,0,0,0,0,0,0,0
22,1569.23,1507.93,804.58,2195.7,3005.12,3825.12,977.46,1800.82,0,0,0,0,0,0,0
23,1517.51,1427.04,772.21,2101.13,2891.69,3653.2,936.8,1708.23,0,0,0,0,0,0,0
24,1456.31,1355.66,738.65,2018.91,2770.54,3490.16,892.77,1622.13,0,0,0,0,0,0,0
1,1166.48,1111.63,562.37,1638.75,2197.71,2709.9,709.14,1266.89,0,0,0,0,0,0,0
2,1147,1082.04,545.24,1591.09,2127.4,2617.68,678.28,1222.43,0,0,0,0,0,0,0
3,1148.33,1068.43,537.47,1570.61,2103.61,2576.27,670.3,1205.72,0,0,0,0,0,0,0
4,1168.04,1076.7,539,1578.18,2111.64,2586.89,670.77,1212.77,0,0,0,0,0,0,0
5,1186.78,1116.47,553.98,1624.12,2176.89,2663.3,683.54,1255.43,0,0,0,0,0,0,0
6,1284.26,1218.95,596.64,1743.22,2342.85,2880.03,738.57,1360.21,0,0,0,0,0,0,0
7,1425.9,1367.5,663.25,1933.31,2603.54,3212.17,829.53,1537.49,0,0,0,0,0,0,0
8,1515.84,1459.06,722.09,2054.16,2786.14,3458.59,889.68,1651.62,0,0,0,0,0,0,0
9,1523.51,1477.88,733.09,2063.96,2841.26,3527.89,900.29,1630.96,0,0,0,0,0,0,0
10,1499.11,1465.34,721.58,2000.81,2814.81,3495.4,910.39,1585.21,0,0,0,0,0,0,0
11,1479.75,1458.79,709.89,1939.79,2789.74,3479.19,917.65,1567.24,0,0,0,0,0,0,0
12,1450.79,1455.24,703.9,1964.05,2816.55,3518.97,934.91,1580.88,0,0,0,0,0,0,0
13,1453.05,1447.42,699.65,1981.15,2867.01,3469.67,944.01,1620.24,0,0,0,0,0,0,0
14,1481.11,1454.19,700.75,1991.82,2856.06,3400.33,934.59,1612.42,0,0,0,0,0,0,0
15,1497.36,1451.95,728.37,1997.45,2859.81,3375.26,934.65,1632.16,0,0,0,0,0,0,0
16,1517.82,1479.65,749.04,2087.58,2922.23,3514.7,947.02,1714.79,0,0,0,0,0,0,0
17,1573.76,1577.31,783.75,2237.91,3085.12,3767.67,1008.91,1871.91,0,0,0,0,0,0,0
18,1658.95,1671.36,817.53,2353.48,3216.02,4023.68,1058.19,1997.07,0,0,0,0,0,0,0
19,1620.76,1659.12,804.43,2325.37,3155,4008.67,1051.73,1984.77,0,0,0,0,0,0,0
20,1574.68,1604.02,777.97,2255.8,3063.6,3901.63,1024.38,1932.97,0,0,0,0,0,0,0
21,1501.62,1535.66,748.86,2169.74,2958.4,3749.3,987.65,1850.91,0,0,0,0,0,0,0
22,1404.25,1437.72,726.94,2060.79,2813.08,3538.91,931.3,1741.8,0,0,0,0,0,0,0
23,1338.13,1325.78,681.01,1928.31,2640.01,3278.29,872.31,1605.79,0,0,0,0,0,0,0
24,1276.11,1237.99,637.64,1798.85,2468.7,3056.89,810.56,1483.74,0,0,0,0,0,0,0
1,1143.74,1103.44,515.14,1646.3,2520.8,2816.02,844.93,1519.33,0,0,0,0,0,0,0
2,1115.05,1049.96,496.51,1547.13,2382.02,2616.66,790.9,1426.68,0,0,0,0,0,0,0
3,1082,1017.52,487.02,1479.2,2273.29,2481.5,747.26,1362.1,0,0,0,0,0,0,0
4,1081.87,999.09,483.16,1445.15,2177.09,2411.41,721.1,1314.43,0,0,0,0,0,0,0
5,1105.61,1016.35,491,1462.07,2167.17,2418.84,723.89,1308.57,0,0,0,0,0,0,0
6,1192.82,1089.21,524.1,1556.15,2266.03,2568.02,746.8,1370.91,0,0,0,0,0,0,0
7,1315.44,1209.33,588.31,1712.98,2468.17,2849.68,808.9,1493.78,0,0,0,0,0,0,0
8,1385.4,1287.16,618.14,1788.3,2633.25,3037.52,863.94,1568.09,0,0,0,0,0,0,0
9,1402.71,1326.47,603.3,1786.76,2727.48,3101.48,896.94,1567.51,0,0,0,0,0,0,0
10,1411.12,1351.39,564.27,1771.77,2797.52,3110.97,924.52,1552.19,0,0,0,0,0,0,0
11,1424.9,1385.63,521.88,1780.98,2863.37,3141.89,955.76,1555.75,0,0,0,0,0,0,0
