datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
1/3/2022 5:00:00 AM,1/3/2022 12:00:00 AM,MIDATL,184.159
1/3/2022 5:00:00 AM,1/3/2022 12:00:00 AM,SOUTH,66.289
1/3/2022 5:00:00 AM,1/3/2022 12:00:00 AM,WEST,725.269
1/3/2022 5:00:00 AM,1/3/2022 12:00:00 AM,RTO,975.717
1/3/2022 5:00:00 AM,1/3/2022 12:00:00 AM,RFC,909.428
1/3/2022 6:00:00 AM,1/3/2022 1:00:00 AM,MIDATL,139.757
1/3/2022 6:00:00 AM,1/3/2022 1:00:00 AM,SOUTH,28.361
1/3/2022 6:00:00 AM,1/3/2022 1:00:00 AM,WEST,800.168
1/3/2022 6:00:00 AM,1/3/2022 1:00:00 AM,RTO,968.286
1/3/2022 6:00:00 AM,1/3/2022 1:00:00 AM,RFC,939.925
1/3/2022 7:00:00 AM,1/3/2022 2:00:00 AM,MIDATL,101.251
1/3/2022 7:00:00 AM,1/3/2022 2:00:00 AM,SOUTH,54.968
1/3/2022 7:00:00 AM,1/3/2022 2:00:00 AM,WEST,796.915
1/3/2022 7:00:00 AM,1/3/2022 2:00:00 AM,RTO,953.134
1/3/2022 7:00:00 AM,1/3/2022 2:00:00 AM,RFC,898.166
1/3/2022 8:00:00 AM,1/3/2022 3:00:00 AM,MIDATL,174.756
1/3/2022 8:00:00 AM,1/3/2022 3:00:00 AM,SOUTH,183.017
1/3/2022 8:00:00 AM,1/3/2022 3:00:00 AM,WEST,673.891
1/3/2022 8:00:00 AM,1/3/2022 3:00:00 AM,RTO,1031.664
1/3/2022 8:00:00 AM,1/3/2022 3:00:00 AM,RFC,848.647
1/3/2022 9:00:00 AM,1/3/2022 4:00:00 AM,MIDATL,248.003
1/3/2022 9:00:00 AM,1/3/2022 4:00:00 AM,SOUTH,234.411
1/3/2022 9:00:00 AM,1/3/2022 4:00:00 AM,WEST,581.637
1/3/2022 9:00:00 AM,1/3/2022 4:00:00 AM,RTO,1064.051
1/3/2022 9:00:00 AM,1/3/2022 4:00:00 AM,RFC,829.640
1/3/2022 10:00:00 AM,1/3/2022 5:00:00 AM,MIDATL,218.392
1/3/2022 10:00:00 AM,1/3/2022 5:00:00 AM,SOUTH,228.389
1/3/2022 10:00:00 AM,1/3/2022 5:00:00 AM,WEST,535.805
1/3/2022 10:00:00 AM,1/3/2022 5:00:00 AM,RTO,982.586
1/3/2022 10:00:00 AM,1/3/2022 5:00:00 AM,RFC,754.197
1/3/2022 11:00:00 AM,1/3/2022 6:00:00 AM,MIDATL,213.074
1/3/2022 11:00:00 AM,1/3/2022 6:00:00 AM,SOUTH,201.830
1/3/2022 11:00:00 AM,1/3/2022 6:00:00 AM,WEST,289.480
1/3/2022 11:00:00 AM,1/3/2022 6:00:00 AM,RTO,704.384
1/3/2022 11:00:00 AM,1/3/2022 6:00:00 AM,RFC,502.554
1/3/2022 12:00:00 PM,1/3/2022 7:00:00 AM,MIDATL,185.142
1/3/2022 12:00:00 PM,1/3/2022 7:00:00 AM,SOUTH,218.531
1/3/2022 12:00:00 PM,1/3/2022 7:00:00 AM,WEST,242.016
1/3/2022 12:00:00 PM,1/3/2022 7:00:00 AM,RTO,645.689
1/3/2022 12:00:00 PM,1/3/2022 7:00:00 AM,RFC,427.158
1/3/2022 1:00:00 PM,1/3/2022 8:00:00 AM,MIDATL,211.301
1/3/2022 1:00:00 PM,1/3/2022 8:00:00 AM,SOUTH,172.420
1/3/2022 1:00:00 PM,1/3/2022 8:00:00 AM,WEST,237.709
1/3/2022 1:00:00 PM,1/3/2022 8:00:00 AM,RTO,621.430
1/3/2022 1:00:00 PM,1/3/2022 8:00:00 AM,RFC,449.010
1/3/2022 2:00:00 PM,1/3/2022 9:00:00 AM,MIDATL,211.630
1/3/2022 2:00:00 PM,1/3/2022 9:00:00 AM,SOUTH,222.505
1/3/2022 2:00:00 PM,1/3/2022 9:00:00 AM,WEST,442.301
1/3/2022 2:00:00 PM,1/3/2022 9:00:00 AM,RTO,876.436
1/3/2022 2:00:00 PM,1/3/2022 9:00:00 AM,RFC,653.931
1/3/2022 3:00:00 PM,1/3/2022 10:00:00 AM,MIDATL,243.418
1/3/2022 3:00:00 PM,1/3/2022 10:00:00 AM,SOUTH,260.533
