latitude,zone,ave_marg_damages_isrm_LePeule,fuel,longitude,node,status,unit,tech,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
38.191734,PJM_West,2.106171706,Gas,-82.604615,9,Existing,Existing NG-CT 813,NG-CT,165.0,36299.999999999985,62898.92209752106,MO
38.191734,PJM_West,2.357446841,Gas,-82.604615,9,Existing,Existing NG-CT 817,NG-CT,165.0,36299.999999999985,70403.02781520042,MO
38.191734,PJM_West,2.454704049,Gas,-82.604615,9,Existing,Existing NG-CT 814,NG-CT,165.0,36299.999999999985,73307.52678458046,MO
38.3441,PJM_West,7.800039409,Gas,-82.5939,9,Existing,Existing NG-CT 917,NG-CT,50.0,10999.999999999996,70588.22897784355,MO
38.5391,PJM_Dom,1.86815888,Gas,-77.2786,4,Existing,Existing NG-CC 379,NG-CC,12602.274298891136,3996007.289667327,6141619.183559729,MO
38.5391,PJM_Dom,2.100079035,Gas,-77.2786,4,Existing,Existing NG-CC 381,NG-CC,60460.80292880665,19370649.796000864,26757942.76088914,MO
38.5391,PJM_Dom,2.331999191,Gas,-77.2786,4,Existing,Existing NG-CC 380,NG-CC,11431.20486400101,3609046.4592003017,6924105.427789052,MO
38.5444,PJM_SMAC,7.452279932,Gas,-76.6861,7,Existing,Existing NG-CC 88,NG-CC,53211.258873014864,17425440.45382854,106835534.74145226,MO
38.54573,PJM_Dom,7.659567836,Gas,-77.77069,4,Existing,Existing NG-CT 564,NG-CT,152.0,33439.999999999985,210723.6786613313,MO
38.54573,PJM_Dom,7.76911235,Gas,-77.77069,4,Existing,Existing NG-CT 562,NG-CT,151.0,33219.999999999985,212331.2095408805,MO
38.54573,PJM_Dom,7.894826684,Gas,-77.77069,4,Existing,Existing NG-CT 561,NG-CT,153.0,33659.999999999985,218624.8455599795,MO
38.54573,PJM_Dom,8.187206639,Gas,-77.77069,4,Existing,Existing NG-CT 563,NG-CT,58.66748178744592,12906.845993238096,86935.80572242179,MO
38.57278,PJM_West,8.122713767,Gas,-82.785,9,Existing,Existing NG-CC 1030,NG-CC,7137.0,1793399.999999999,11984533.08630687,MO
38.57292,PJM_West,9.206402713,Gas,-82.78486,9,Existing,Existing NG-CC 1031,NG-CC,36340.0,9151359.999999994,55342039.37841426,MO
38.57306,PJM_West,10.29009166,Gas,-82.78472,9,Existing,Existing NG-CC 1029,NG-CC,6876.952745813602,1719269.6040789916,14554792.963199267,MO
38.57417,PJM_West,6.699543491,Gas,-82.78389,9,Existing,Existing NG-CC 1033,NG-CC,7440.0,1878599.999999999,10354337.875426468,MO
38.574305,PJM_West,6.741203522,Gas,-82.78375,9,Existing,Existing NG-CC 1034,NG-CC,41448.0,11756159.999999994,49735969.34842254,MO
38.57444,PJM_West,6.782863554,Gas,-82.78361,9,Existing,Existing NG-CC 1032,NG-CC,7400.0,1868499.999999999,10426750.623988148,MO
38.700049,PJM_West,39.49324355,Coal,-83.817613,9,Existing,Existing Coal 424,Coal,9009.339529464334,1982054.6964821527,46488967.58944417,MO
38.700049,PJM_West,41.68817601,Coal,-83.817613,9,Existing,Existing Coal 422,Coal,9630.0,2118599.999999999,64380380.39274955,MO
38.700049,PJM_West,45.84847857,Coal,-83.817613,9,Existing,Existing Coal 423,Coal,8752.0,1925439.999999999,52145846.41101675,MO
38.700049,PJM_West,134.826744,Coal,-83.817613,9,Existing,Existing Coal 421,Coal,1219.051890929398,268191.41600446746,29748407.619156074,MO
38.905053,PJM_West,92.91355026,Coal,-84.851009,9,Existing,Existing Coal 412,Coal,7800.0,1715999.9999999993,115881686.84253953,MO
38.97014,PJM_AP,0.975389303,Gas,-78.17795,1,Existing,Existing NG-CC 1043,NG-CC,54061.49224638918,17417994.415383972,10904790.230420051,MO
38.97014,PJM_AP,1.187291644,Gas,-78.17795,1,Existing,Existing NG-CC 1045,NG-CC,125866.79466074539,38584942.76277516,27651683.174448088,MO
38.97014,PJM_AP,1.269545686,Gas,-78.17795,1,Existing,Existing NG-CC 1044,NG-CC,52927.67827360366,17072931.499899443,13925835.02223548,MO
38.97014,PJM_AP,1.316939942,Gas,-78.17795,1,Existing,Existing NG-CC 1042,NG-CC,51996.06586995965,16788819.76098789,14216167.78597747,MO
38.9794,PJM_West,46.76057225,Coal,-81.9344,9,Existing,Existing Coal 435,Coal,13674.0,3008279.9999999986,115728647.45716439,MO
39.0908,PJM_West,6.39997462,Gas,-84.8666,9,Existing,Existing NG-CC 982,NG-CC,6640.0,1676599.999999999,8827759.995386278,MO
